Front,Back,Source
Oberamtsperson Bezirk Sense?,Manfred Raemy.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk Greyerz?,Vincent Bosson.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk See?,Christoph Wieland.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk Glâne?,Valentin Bard.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk Broye?,Nicolas Kilchoer.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Oberamtsperson Bezirk Vivisbach?,François Genoud.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Hauptaufgaben der Oberamtspersonen (FR)?,Öffentliche Ordnung; Aufsicht Gesetzesvollzug u. Gemeinden; gewisse Strafkompetenzen; Beschwerdeinstanz.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Exekutive auf Gemeindeebene heisst…,Gemeinderat.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Gesetzgebende Behörde in grösseren Gemeinden (FR)?,Generalrat.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer übt Gesetzgebung in kleinen Gemeinden aus?,Gemeindeversammlung.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Mitglieder hat ein Gemeinderat (je nach Grösse)?,"5, 7 oder 9.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wer steht dem Gemeinderat vor?,Gemeindepräsident/in (Ammann).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Höchster Berg des Kantons Freiburg?,Vanil Noir.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Zwei weitere Freiburger Berge?,La Berra; Moléson.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Drei wichtige Freiburger Gewässer?,Saane; Sense; Murtensee.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
"Einwohner Kanton FR (31.12.2023, gerundet)?",341’537.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Nationalrät/innen stellt FR?,7.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
FR im Ständerat (2025)?,Johanna Gapany; Isabelle Chassot.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Pierre‑André Page – Partei?,SVP.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Nicolas Kolly – Partei?,SVP.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Nadine Gobet – Partei?,FDP.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Gerhard Andrey – Partei?,Grüne.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Valérie Piller Carrard – Partei?,SP.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Christine Bulliard‑Marbach – Partei?,Die Mitte.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nationalrat FR: Marie‑France Roth Pasquier – Partei?,Die Mitte.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Ständerat FR: Johanna Gapany – Partei?,FDP.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Ständerat FR: Isabelle Chassot – Partei?,Die Mitte.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
"Weitere Bundesgerichte (Standorte, kurz)?",Bundesstrafgericht Bellinzona; Bundesverwaltungsgericht & Bundespatentgericht St. Gallen; Teile Bundesgericht Luzern.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Obligatorisches Referendum betrifft…,Verfassungsänderungen (Bund/Kanton).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Halbdirekte Demokratie bedeutet…,Wahlen + direkte Mitwirkung via Initiative/Referendum.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Sitz Bundesgericht (Stadt) und Funktion?,Lausanne – oberste richterliche Instanz.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nationalrat: andere Bezeichnung?,Volkskammer.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Ständerat: andere Bezeichnung?,Ständekammer.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
